date;Italy;US;Spain;Germany;India;Korea, South
2020-01-22;0;1;0;0;0;1
2020-01-23;0;1;0;0;0;1
2020-01-24;0;2;0;0;0;2
2020-01-25;0;2;0;0;0;2
2020-01-26;0;5;0;0;0;3
2020-01-27;0;5;0;1;0;4
2020-01-28;0;5;0;4;0;4
2020-01-29;0;5;0;4;0;4
2020-01-30;0;5;0;4;1;4
2020-01-31;2;7;0;5;1;11
2020-02-01;2;8;1;8;1;12
2020-02-02;2;8;1;10;2;15
2020-02-03;2;11;1;12;3;15
2020-02-04;2;11;1;12;3;16
2020-02-05;2;11;1;12;3;19
2020-02-06;2;11;1;12;3;23
2020-02-07;3;11;1;13;3;24
2020-02-08;3;11;1;13;3;24
2020-02-09;3;11;2;14;3;25
2020-02-10;3;11;2;14;3;27
2020-02-11;3;12;2;16;3;28
2020-02-12;3;12;2;16;3;28
2020-02-13;3;13;2;16;3;28
2020-02-14;3;13;2;16;3;28
2020-02-15;3;13;2;16;3;28
2020-02-16;3;13;2;16;3;29
2020-02-17;3;13;2;16;3;30
2020-02-18;3;13;2;16;3;31
2020-02-19;3;13;2;16;3;31
2020-02-20;3;13;2;16;3;104
2020-02-21;20;15;2;16;3;204
2020-02-22;62;15;2;16;3;433
2020-02-23;155;15;2;16;3;602
2020-02-24;229;15;2;16;3;833
2020-02-25;322;15;6;17;3;977
2020-02-26;453;15;13;27;3;1261
2020-02-27;655;16;15;46;3;1766
2020-02-28;888;16;32;48;3;2337
2020-02-29;1128;24;45;79;3;3150
2020-03-01;1694;30;84;130;3;3736
2020-03-02;2036;52;120;159;5;4335
2020-03-03;2502;72;165;196;5;5186
2020-03-04;3089;103;222;262;28;5621
2020-03-05;3858;172;259;482;30;6088
2020-03-06;4636;215;400;670;31;6593
2020-03-07;5883;337;500;799;34;7041
2020-03-08;7375;450;673;1040;39;7314
2020-03-09;9172;515;1073;1176;43;7478
2020-03-10;10149;713;1695;1457;56;7513
2020-03-11;12462;1105;2277;1908;62;7755
2020-03-12;15113;1530;2277;2078;73;7869
2020-03-13;17660;2115;5232;3675;82;7979
2020-03-14;21157;2814;6391;4585;102;8086
2020-03-15;24747;2986;7798;5795;113;8162
2020-03-16;27980;4354;9942;7272;119;8236
2020-03-17;31506;5970;11748;9257;142;8320
2020-03-18;35713;8386;13910;12327;156;8413
2020-03-19;41035;12674;17963;15320;194;8565
2020-03-20;47021;18736;20410;19848;244;8652
2020-03-21;53578;24508;25374;22213;330;8799
2020-03-22;59138;33152;28768;24873;396;8961
2020-03-23;63927;43850;35136;29056;499;8961
2020-03-24;69176;54112;39885;32986;536;9037
2020-03-25;74386;66055;49515;37323;657;9137
2020-03-26;80589;83611;57786;43938;727;9241
2020-03-27;86498;102101;65719;50871;887;9332
2020-03-28;92472;122059;73235;57695;987;9478
2020-03-29;97689;141205;80110;62095;1024;9583
2020-03-30;101739;162707;87956;66885;1251;9661
2020-03-31;105792;188744;95923;71808;1397;9786
2020-04-01;110574;214205;104118;77872;1998;9887
2020-04-02;115242;244610;112065;84794;2543;9976
2020-04-03;119827;276547;119199;91159;2567;10062
2020-04-04;124632;309699;126168;96092;3082;10156
